Data_Ocorrencia;Periodo_Ocorrencia;Cidade;Flagrante;Descr_Automovel
19/02/2022;Tarde;PRAIA GRANDE;Sim;AUTOMOVEL
19/02/2022;Tarde;PRAIA GRANDE;Sim;CAMINHONETE
19/02/2022;Noite;S.BARBARA D OESTE; Não;AUTOMOVEL
19/02/2022;Noite;GUARULHOS; Não;AUTOMOVEL
19/02/2022;Noite;DIADEMA;Sim;
19/02/2022;Noite;DIADEMA;Sim;CAMINHONETE
19/02/2022;Noite;DIADEMA;Sim;CAMINHÃƒO
19/02/2022;Noite;DIADEMA;Sim;
19/02/2022;Noite;DIADEMA;Sim;CAMINHONETE
19/02/2022;Noite;DIADEMA;Sim;CAMINHÃƒO
20/02/2022;Madrugada;BARUERI; Não;AUTOMOVEL
19/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
19/02/2022;Noite;S.PAULO; Não;
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
19/02/2022;Noite;S.ANDRE; Não;
19/02/2022;Noite;S.ANDRE; Não;AUTOMOVEL
19/02/2022;Noite;S.ANDRE; Não;
19/02/2022;Noite;S.ANDRE; Não;AUTOMOVEL
18/02/2022;Noite;S.PAULO; Não;MOTOCICLO
20/02/2022;Madrugada;S.SEBASTIAO; Não;UTILITÃRIO
19/02/2022;Noite;S.PAULO;Sim;
19/02/2022;Noite;S.PAULO;Sim;MOTONETA
19/02/2022;Noite;S.PAULO;Sim;
19/02/2022;Noite;S.PAULO;Sim;MOTONETA
19/02/2022;Noite;S.PAULO;Sim;
19/02/2022;Noite;S.PAULO;Sim;MOTONETA
20/02/2022;Madrugada;JUNDIAI; Não;CAMIONETA
20/02/2022;Madrugada;JUNDIAI; Não;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO;Sim;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;PORTO FERREIRA;Sim;
19/02/2022;Noite;PORTO FERREIRA;Sim;MOTOCICLO
19/02/2022;Noite;PORTO FERREIRA;Sim;AUTOMOVEL
19/02/2022;Noite;PORTO FERREIRA;Sim;CAMINHONETE
19/02/2022;Noite;PORTO FERREIRA;Sim;
19/02/2022;Noite;PORTO FERREIRA;Sim;MOTOCICLO
19/02/2022;Noite;PORTO FERREIRA;Sim;AUTOMOVEL
19/02/2022;Noite;PORTO FERREIRA;Sim;CAMINHONETE
20/02/2022;Madrugada;GUARULHOS; Não;AUTOMOVEL
19/02/2022;Noite;S.PAULO; Não;
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
19/02/2022;Tarde;SUMARE; Não;MICRO ONIBUS
20/02/2022;Madrugada;TABOAO DA SERRA; Não;MOTOCICLO
18/02/2022;Tarde;S.PAULO; Não;CAMINHONETE
20/02/2022;Manha;CAMPINAS; Não;MOTOCICLO
20/02/2022;Manha;S.PAULO; Não;CAMIONETA
17/02/2022;Manha;S.PAULO; Não;
17/02/2022;Noite;S.PAULO; Não;MOTOCICLO
18/02/2022;Manha;MIRACATU; Não;SEMI REBOQUE
18/02/2022;Manha;MIRACATU; Não;SEMI REBOQUE
18/02/2022;Manha;MIRACATU; Não;CAMINHÃƒO TRATOR
20/02/2022;Madrugada;S.PAULO; Não;TRATOR MISTO
20/02/2022;Madrugada;MAUA; Não;
20/02/2022;Madrugada;MAUA; Não;AUTOMOVEL
20/02/2022;Madrugada;MAUA; Não;
20/02/2022;Madrugada;MAUA; Não;AUTOMOVEL
26/01/2022;Noite;ITAQUAQUECETUBA; Não;
26/01/2022;Noite;ITAQUAQUECETUBA; Não;CAMINHONETE
26/01/2022;Noite;ITAQUAQUECETUBA; Não;
26/01/2022;Noite;ITAQUAQUECETUBA; Não;CAMINHONETE
20/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
20/02/2022;Manha;S.BERNARDO DO CAMPO; Não;
20/02/2022;Manha;S.BERNARDO DO CAMPO; Não;MOTOCICLO
20/02/2022;Manha;S.BERNARDO DO CAMPO; Não;
20/02/2022;Manha;S.BERNARDO DO CAMPO; Não;MOTOCICLO
20/02/2022;Manha;S.PAULO; Não;MOTOCICLO
20/02/2022;Manha;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
19/02/2022;Noite;GUARULHOS; Não;MOTOCICLO
19/02/2022;Noite;SUZANO; Não;AUTOMOVEL
19/02/2022;Noite;ITAQUAQUECETUBA; Não;MOTOCICLO
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
20/02/2022;Manha;S.PAULO;Sim;
20/02/2022;Manha;S.PAULO;Sim;AUTOMOVEL
20/02/2022;Manha;S.PAULO;Sim;
20/02/2022;Manha;S.PAULO;Sim;AUTOMOVEL
19/02/2022;Noite;S.PAULO; Não;
19/02/2022;Noite;S.PAULO; Não;SEMI REBOQUE
19/02/2022;Noite;S.PAULO; Não;CAMINHÃƒO TRATOR
19/02/2022;Noite;S.PAULO; Não;
19/02/2022;Noite;S.PAULO; Não;SEMI REBOQUE
19/02/2022;Noite;S.PAULO; Não;CAMINHÃƒO TRATOR
20/02/2022;Madrugada;ITAPEVI; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Manha;S.ANDRE; Não;MOTOCICLO
20/02/2022;Tarde;ITAPECERICA DA SERRA; Não;MOTOCICLO
20/02/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
20/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
20/02/2022;Tarde;ITAPECERICA DA SERRA; Não;CAMINHONETE
16/02/2022;Tarde;SUZANO; Não;
16/02/2022;Tarde;SUZANO; Não;AUTOMOVEL
16/02/2022;Tarde;SUZANO; Não;
16/02/2022;Tarde;SUZANO; Não;AUTOMOVEL
04/02/2022;Manha;CAJAMAR; Não;AUTOMOVEL
20/02/2022;Madrugada;CAMPINAS; Não;AUTOMOVEL
20/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
20/02/2022;Tarde;SUZANO; Não;MOTOCICLO
20/02/2022;Manha;ITARIRI;Sim;MOTOCICLO
20/02/2022;Manha;ITARIRI;Sim;CAMINHONETE
18/02/2022;Noite;S.BERNARDO DO CAMPO; Não;MOTOCICLO
20/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;
20/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;UTILITÃRIO
20/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;
20/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;UTILITÃRIO
20/02/2022;Tarde;EMBU DAS ARTES; Não;MOTOCICLO
20/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
18/02/2022;Tarde;CAMPINAS; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Manha;S.PAULO; Não;CAMIONETA
20/02/2022;Tarde;S.PAULO; Não;MOTOCICLO
19/02/2022;Noite;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Tarde;CAMPINAS; Não;MOTOCICLO
20/02/2022;Tarde;CAMPINAS; Não;MOTOCICLO
20/02/2022;Noite;S.CAETANO DO SUL; Não;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
20/02/2022;Manha;ATIBAIA; Não;
20/02/2022;Manha;ATIBAIA; Não;CAMINHÃƒO TRATOR
20/02/2022;Manha;ATIBAIA; Não;SEMI REBOQUE
20/02/2022;Manha;ATIBAIA; Não;
20/02/2022;Manha;ATIBAIA; Não;CAMINHÃƒO TRATOR
20/02/2022;Manha;ATIBAIA; Não;SEMI REBOQUE
20/02/2022;Manha;ATIBAIA; Não;
20/02/2022;Manha;ATIBAIA; Não;CAMINHÃƒO TRATOR
20/02/2022;Manha;ATIBAIA; Não;SEMI REBOQUE
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Noite;MAUA; Não;AUTOMOVEL
20/02/2022;Noite;S.ANDRE; Não;
20/02/2022;Noite;S.ANDRE; Não;CAMIONETA
20/02/2022;Noite;S.ANDRE; Não;
20/02/2022;Noite;S.ANDRE; Não;CAMIONETA
20/02/2022;Noite;S.ANDRE; Não;MOTOCICLO
20/02/2022;Tarde;ENGENHEIRO COELHO; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Noite;RIBEIRAO PRETO; Não;AUTOMOVEL
20/02/2022;Noite;RIBEIRAO PRETO; Não;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
20/02/2022;Noite;OSASCO; Não;MOTOCICLO
21/02/2022;Madrugada;HORTOLANDIA; Não;MOTOCICLO
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
21/02/2022;Madrugada;CAMPINAS; Não;AUTOMOVEL
21/02/2022;Madrugada;S.PAULO; Não;
21/02/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
21/02/2022;Madrugada;S.PAULO; Não;
21/02/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
21/02/2022;Madrugada;BARRETOS; Não;MOTOCICLO
20/02/2022;Hora_Incerta;SOROCABA; Não;
20/02/2022;Hora_Incerta;SOROCABA; Não;AUTOMOVEL
20/02/2022;Hora_Incerta;SOROCABA; Não;
20/02/2022;Hora_Incerta;SOROCABA; Não;AUTOMOVEL
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
20/02/2022;Noite;S.PAULO; Não;
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Madrugada;ITAPIRA; Não;MOTOCICLO
16/02/2022;Tarde;VOTORANTIM; Não;MOTOCICLO
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Tarde;TAUBATE; Não;MOTOCICLO
21/02/2022;Manha;CAMPINAS; Não;MOTOCICLO
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
10/01/2022;Noite;S.ANDRE; Não;MOTOCICLO
20/02/2022;Noite;EMBU GUACU; Não;MOTOCICLO
20/02/2021;Noite;DIADEMA; Não;MOTOCICLO
18/02/2022;Noite;ITAQUAQUECETUBA; Não;
18/02/2022;Noite;ITAQUAQUECETUBA; Não;AUTOMOVEL
18/02/2022;Noite;ITAQUAQUECETUBA; Não;
18/02/2022;Noite;ITAQUAQUECETUBA; Não;AUTOMOVEL
21/02/2022;Hora_Incerta;S.BERNARDO DO CAMPO; Não;
21/02/2022;Hora_Incerta;S.BERNARDO DO CAMPO; Não;MOTOCICLO
21/02/2022;Hora_Incerta;S.BERNARDO DO CAMPO; Não;
21/02/2022;Hora_Incerta;S.BERNARDO DO CAMPO; Não;MOTOCICLO
19/02/2022;Noite;OSASCO; Não;MOTOCICLO
21/02/2022;Madrugada;GUARULHOS; Não;CAMINHÃƒO TRATOR
20/02/2022;Noite;COTIA; Não;AUTOMOVEL
20/02/2022;Noite;COTIA; Não;AUTOMOVEL
19/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
19/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
19/02/2022;Madrugada;SALTO; Não;
19/02/2022;Madrugada;SALTO; Não;CAMIONETA
19/02/2022;Madrugada;SALTO; Não;
19/02/2022;Madrugada;SALTO; Não;CAMIONETA
20/02/2022;Madrugada;OSASCO; Não;
20/02/2022;Madrugada;OSASCO; Não;AUTOMOVEL
20/02/2022;Madrugada;OSASCO; Não;
20/02/2022;Madrugada;OSASCO; Não;AUTOMOVEL
20/02/2022;Madrugada;SUMARE; Não;
20/02/2022;Madrugada;SUMARE; Não;AUTOMOVEL
20/02/2022;Madrugada;SUMARE; Não;
20/02/2022;Madrugada;SUMARE; Não;AUTOMOVEL
15/02/2022;Noite;TAUBATE; Não;
19/02/2022;Noite;S.ANDRE; Não;
19/02/2022;Noite;S.ANDRE; Não;CAMINHONETE
19/02/2022;Noite;S.ANDRE; Não;
19/02/2022;Noite;S.ANDRE; Não;CAMINHONETE
18/02/2022;Tarde;MOGI GUACU; Não;AUTOMOVEL
21/02/2022;Manha;S.PAULO; Não;CAMINHONETE
20/02/2022;Noite;OSASCO; Não;MOTOCICLO
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
19/02/2022;Tarde;S.ANDRE; Não;
19/02/2022;Tarde;S.ANDRE; Não;AUTOMOVEL
19/02/2022;Tarde;S.ANDRE; Não;
19/02/2022;Tarde;S.ANDRE; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
20/02/2022;Noite;EMBU DAS ARTES; Não;MOTOCICLO
21/02/2022;Manha;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
21/02/2022;Manha;EMBU GUACU; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;MOTOCICLO
20/02/2022;Madrugada;ITAPIRA; Não;AUTOMOVEL
20/02/2022;Noite;COTIA; Não;AUTOMOVEL
20/02/2022;Noite;COTIA; Não;AUTOMOVEL
19/02/2022;Noite;MAUA; Não;AUTOMOVEL
21/02/2022;Manha;S.PAULO; Não;CAMINHONETE
20/02/2022;Noite;S.BERNARDO DO CAMPO; Não;CAMINHÃƒO TRATOR
20/02/2022;Noite;S.BERNARDO DO CAMPO; Não;REBOQUE
20/02/2022;Noite;S.BERNARDO DO CAMPO; Não;SEMI REBOQUE
17/02/2022;Tarde;CARAGUATATUBA; Não;AUTOMOVEL
19/02/2022;Noite;CAMPINAS; Não;MOTOCICLO
21/02/2022;Madrugada;S.PAULO; Não;
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
21/02/2022;Madrugada;S.PAULO; Não;
21/02/2022;Madrugada;S.PAULO; Não;MOTOCICLO
18/02/2022;Noite;S.PAULO; Não;MOTOCICLO
20/02/2022;Madrugada;SOROCABA; Não;
20/02/2022;Madrugada;SOROCABA; Não;AUTOMOVEL
20/02/2022;Madrugada;SOROCABA; Não;
20/02/2022;Madrugada;SOROCABA; Não;AUTOMOVEL
21/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;MOTOCICLO
18/02/2022;Noite;DIADEMA; Não;UTILITÃRIO
21/02/2022;Manha;S.PAULO; Não;MOTOCICLO
21/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
20/02/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
12/02/2022;Noite;GUARULHOS; Não;
12/02/2022;Noite;GUARULHOS; Não;AUTOMOVEL
12/02/2022;Noite;GUARULHOS; Não;
12/02/2022;Noite;GUARULHOS; Não;AUTOMOVEL
18/02/2022;Tarde;S.PAULO; Não;
21/02/2022;Tarde;S.PAULO; Não;AUTOMOVEL
16/02/2022;Tarde;RIBEIRAO PRETO; Não;
21/02/2022;Tarde;CAMPINAS; Não;MOTOCICLO
21/02/2022;Tarde;PIRACICABA; Não;AUTOMOVEL
21/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;CAMINHONETE
21/02/2022;Tarde;LIMEIRA; Não;
21/02/2022;Tarde;LIMEIRA; Não;AUTOMOVEL
21/02/2022;Tarde;LIMEIRA; Não;
21/02/2022;Tarde;LIMEIRA; Não;AUTOMOVEL
21/02/2022;Manha;S.ANDRE; Não;
21/02/2022;Manha;S.ANDRE; Não;CAMINHONETE
21/02/2022;Manha;S.ANDRE; Não;
21/02/2022;Manha;S.ANDRE; Não;CAMINHONETE
18/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
21/02/2022;Tarde;RIBEIRAO PIRES; Não;
21/02/2022;Tarde;RIBEIRAO PIRES; Não;CAMIONETA
21/02/2022;Tarde;RIBEIRAO PIRES; Não;
21/02/2022;Tarde;RIBEIRAO PIRES; Não;CAMIONETA
19/02/2022;Noite;GUARULHOS; Não;AUTOMOVEL
20/02/2022;Noite;S.PAULO; Não;MOTOCICLO
18/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Manha;S.ANDRE; Não;AUTOMOVEL
21/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
17/02/2022;Madrugada;S.PAULO; Não;CAMINHÃƒO
21/02/2022;Manha;S.VICENTE; Não;
21/02/2022;Manha;S.VICENTE; Não;CAMINHÃƒO
21/02/2022;Manha;S.VICENTE; Não;
21/02/2022;Manha;S.VICENTE; Não;CAMINHÃƒO
19/02/2022;Manha;S.PAULO; Não;AUTOMOVEL
21/02/2022;Tarde;SUMARE; Não;AUTOMOVEL
18/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Tarde;S.ANDRE; Não;CAMINHONETE
21/02/2022;Tarde;S.ANDRE; Não;CAMINHONETE
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
19/02/2022;Noite;COTIA; Não;MOTOCICLO
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
16/02/2022;Madrugada;GUARULHOS; Não;MOTOCICLO
21/02/2022;Tarde;PATROCINIO PAULISTA; Não;CAMINHONETE
21/02/2022;Noite;OSASCO; Não;AUTOMOVEL
21/02/2022;Noite;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
19/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Tarde;BOITUVA; Não;AUTOMOVEL
21/02/2022;Noite;LIMEIRA; Não;CAMINHÃƒO TRATOR
21/02/2022;Tarde;S.BERNARDO DO CAMPO; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Noite;MOGI GUACU; Não;MOTOCICLO
21/02/2022;Noite;GUARULHOS; Não;MOTOCICLO
21/02/2022;Noite;S.VICENTE; Não;AUTOMOVEL
13/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
21/02/2022;Noite;CAMPO LIMPO PAULISTA; Não;MOTOCICLO
21/02/2022;Tarde;BARUERI; Não;MICRO ONIBUS
21/02/2022;Noite;CAMPINAS; Não;MOTOCICLO
21/02/2022;Noite;TAUBATE; Não;AUTOMOVEL
21/02/2022;Noite;HORTOLANDIA; Não;AUTOMOVEL
20/02/2022;Noite;ARACATUBA; Não;MOTOCICLO
21/02/2022;Noite;CAMPINAS; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;
21/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;
21/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;CAMINHONETE
21/02/2022;Noite;S.PAULO; Não;UTILITÃRIO
21/02/2022;Noite;S.PAULO; Não;CAMINHONETE
21/02/2022;Noite;S.PAULO;Sim;
21/02/2022;Noite;S.PAULO;Sim;CAMINHONETE
21/02/2022;Noite;S.PAULO;Sim;
21/02/2022;Noite;S.PAULO;Sim;CAMINHONETE
21/02/2022;Noite;PRAIA GRANDE; Não;
21/02/2022;Noite;PRAIA GRANDE; Não;AUTOMOVEL
21/02/2022;Noite;PRAIA GRANDE; Não;
21/02/2022;Noite;PRAIA GRANDE; Não;AUTOMOVEL
21/02/2022;Noite;PRAIA GRANDE; Não;
21/02/2022;Noite;PRAIA GRANDE; Não;AUTOMOVEL
21/02/2022;Noite;PRAIA GRANDE; Não;
21/02/2022;Noite;PRAIA GRANDE; Não;AUTOMOVEL
21/02/2022;Noite;JACAREI; Não;CAMINHÃƒO
22/02/2022;Madrugada;RIBEIRAO PIRES; Não;MOTOCICLO
22/02/2022;Madrugada;BARUERI;Sim;CAMINHÃƒO
17/02/2022;Manha;GUARULHOS; Não;MOTOCICLO
22/02/2022;Madrugada;S.PAULO; Não;AUTOMOVEL
21/02/2022;Noite;S.PAULO; Não;MOTOCICLO
21/02/2022;Noite;AMERICANA; Não;CAMIONETA
22/02/2022;Madrugada;OSASCO; Não;AUTOMOVEL
21/02/2022;Tarde;S.PAULO; Não;
21/02/2022;Tarde;S.PAULO; Não;CAMINHONETE
21/02/2022;Tarde;S.PAULO; Não;
21/02/2022;Tarde;S.PAULO; Não;CAMINHONETE
20/02/2022;Noite;S.PAULO; Não;AUTOMOVEL
18/02/2022;Tarde;ITAPIRA; Não;MOTOCICLO
18/02/2022;Tarde;GUARULHOS; Não;CAMINHONETE
