Data_Ocorrencia;Periodo_Ocorrencia;Bairro;Cidade;Flagrante;Delegacia_Nome;Descr_Automovel
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;CAMINHONETE
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;CAMINHONETE
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;
17/03/2022;Manha;CAMPO BELO;S.PAULO; Não;02Âº D.P. COTIA;CAMINHONETE
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;CAMINHONETE
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;CAMINHONETE
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;
21/03/2022;Manha;SAO MATEUS;S.PAULO; Não;49Âº D.P. SAO MATEUS;CAMINHONETE
19/03/2022;Noite;ITAPOLIS;ITAPOLIS; Não;DEL.POL.ITÃPOLIS;CAMINHONETE
21/03/2022;Manha;CENTRO;REGISTRO; Não;01Âº D.P. REGISTRO;MOTOCICLO
21/03/2022;Manha;CRISPIM;ITAPECERICA DA SERRA; Não;01Âº D.P. ITAPECERICA DA SERRA;AUTOMOVEL
18/03/2022;Madrugada;PENHA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Manha;SAO LUCAS;S.PAULO; Não;70Âº D.P. VILA EMA;
21/03/2022;Manha;SAO LUCAS;S.PAULO; Não;70Âº D.P. VILA EMA;CAMINHONETE
21/03/2022;Manha;SAO LUCAS;S.PAULO; Não;70Âº D.P. VILA EMA;
21/03/2022;Manha;SAO LUCAS;S.PAULO; Não;70Âº D.P. VILA EMA;CAMINHONETE
21/03/2022;Tarde;VILA AEROPORTO;CAMPINAS; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Manha;VILA MATILDE;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
20/03/2022;Madrugada;VILA ANNY;GUARULHOS; Não;DELEGACIA ELETRONICA;MOTOCICLO
17/03/2022;Tarde;ANHANGABAÃŠ;JUNDIAI; Não;DEL.POL.CAMPO LIMPO PAULISTA;
17/03/2022;Tarde;ANHANGABAÃŠ;JUNDIAI; Não;DEL.POL.CAMPO LIMPO PAULISTA;CAMINHÃƒO
17/03/2022;Tarde;ANHANGABAÃŠ;JUNDIAI; Não;DEL.POL.CAMPO LIMPO PAULISTA;
17/03/2022;Tarde;ANHANGABAÃŠ;JUNDIAI; Não;DEL.POL.CAMPO LIMPO PAULISTA;CAMINHÃƒO
21/03/2022;Manha;JD UNIVERSO;MOGI DAS CRUZES; Não;02Âº D.P. MOGI DAS CRUZES;MOTOCICLO
21/03/2022;Madrugada;LAJEADO;S.PAULO; Não;66Âº D.P. JDIM ARICANDUVA;AUTOMOVEL
20/03/2022;Tarde;JARDIM COLINA;S.PAULO; Não;26Âº D.P. SACOMA;
20/03/2022;Tarde;JARDIM COLINA;S.PAULO; Não;26Âº D.P. SACOMA;AUTOMOVEL
20/03/2022;Tarde;JARDIM COLINA;S.PAULO; Não;26Âº D.P. SACOMA;
20/03/2022;Tarde;JARDIM COLINA;S.PAULO; Não;26Âº D.P. SACOMA;AUTOMOVEL
19/03/2022;Manha;JARDIM ANGELA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Madrugada;EMBU MIRIM;EMBU DAS ARTES; Não;DEL.POL.EMBU DAS ARTES;AUTOMOVEL
18/03/2022;Manha;PQ RES DA CANTAREIRA;MAIRIPORA; Não;DEL.POL.PIRACAIA;
18/03/2022;Manha;PQ RES DA CANTAREIRA;MAIRIPORA; Não;DEL.POL.PIRACAIA;CAMINHONETE
18/03/2022;Manha;PQ RES DA CANTAREIRA;MAIRIPORA; Não;DEL.POL.PIRACAIA;
18/03/2022;Manha;PQ RES DA CANTAREIRA;MAIRIPORA; Não;DEL.POL.PIRACAIA;CAMINHONETE
21/03/2022;Madrugada;TATUAPÃ©;S.PAULO; Não;48Âº D.P. CIDADE DUTRA;MOTOCICLO
21/03/2022;Manha;VILA GIOTO;LIMEIRA; Não;03Âº D.P. LIMEIRA;CAMINHONETE
21/03/2022;Manha;VILA CURUÃ‡Ã;S.ANDRE;Sim;CPJ SANTO ANDRE;
21/03/2022;Manha;VILA CURUÃ‡Ã;S.ANDRE;Sim;CPJ SANTO ANDRE;AUTOMOVEL
21/03/2022;Manha;VILA CURUÃ‡Ã;S.ANDRE;Sim;CPJ SANTO ANDRE;
21/03/2022;Manha;VILA CURUÃ‡Ã;S.ANDRE;Sim;CPJ SANTO ANDRE;AUTOMOVEL
15/03/2022;Manha;VILA MARIA DE MAGGI;SUZANO; Não;01Âº D.P. DIADEMA;
15/03/2022;Manha;VILA MARIA DE MAGGI;SUZANO; Não;01Âº D.P. DIADEMA;CAMINHONETE
15/03/2022;Manha;VILA MARIA DE MAGGI;SUZANO; Não;01Âº D.P. DIADEMA;
15/03/2022;Manha;VILA MARIA DE MAGGI;SUZANO; Não;01Âº D.P. DIADEMA;CAMINHONETE
28/02/2022;Manha;PARQUE CAPUAVA;S.ANDRE; Não;49Âº D.P. SAO MATEUS;
28/02/2022;Manha;PARQUE CAPUAVA;S.ANDRE; Não;49Âº D.P. SAO MATEUS;MOTOCICLO
28/02/2022;Manha;PARQUE CAPUAVA;S.ANDRE; Não;49Âº D.P. SAO MATEUS;
28/02/2022;Manha;PARQUE CAPUAVA;S.ANDRE; Não;49Âº D.P. SAO MATEUS;MOTOCICLO
13/03/2022;Manha;JABAQUARA;S.PAULO; Não;43Âº D.P. CIDADE ADEMAR;AUTOMOVEL
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;CAMINHONETE
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;CAMINHONETE
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;
21/03/2022;Manha;JARDIM PARANAVAÃ;MAUA;Sim;04Âº D.P. MAUA;CAMINHONETE
19/03/2022;Manha;KM 209;GUARULHOS; Não;02Âº D.P. GUARULHOS;
19/03/2022;Manha;KM 209;GUARULHOS; Não;02Âº D.P. GUARULHOS;CAMINHONETE
19/03/2022;Manha;KM 209;GUARULHOS; Não;02Âº D.P. GUARULHOS;
19/03/2022;Manha;KM 209;GUARULHOS; Não;02Âº D.P. GUARULHOS;CAMINHONETE
20/03/2022;Tarde;TABOÃƑO;DIADEMA; Não;04Âº D.P. DIADEMA;
20/03/2022;Tarde;TABOÃƑO;DIADEMA; Não;04Âº D.P. DIADEMA;AUTOMOVEL
20/03/2022;Tarde;TABOÃƑO;DIADEMA; Não;04Âº D.P. DIADEMA;
20/03/2022;Tarde;TABOÃƑO;DIADEMA; Não;04Âº D.P. DIADEMA;AUTOMOVEL
20/03/2022;Tarde;JABAQUARA;S.PAULO; Não;97Âº D.P. AMERICANOPOLIS;
20/03/2022;Tarde;JABAQUARA;S.PAULO; Não;97Âº D.P. AMERICANOPOLIS;MOTONETA
20/03/2022;Tarde;JABAQUARA;S.PAULO; Não;97Âº D.P. AMERICANOPOLIS;
20/03/2022;Tarde;JABAQUARA;S.PAULO; Não;97Âº D.P. AMERICANOPOLIS;MOTONETA
21/03/2022;Manha;VILA APARECIDA;SUZANO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
18/03/2022;Madrugada;PENHA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
20/03/2022;Noite;VILA CRETI;CARAPICUIBA; Não;54Âº D.P. CID. TIRADENTES;REBOQUE
20/03/2022;Noite;VILA CRETI;CARAPICUIBA; Não;54Âº D.P. CID. TIRADENTES;REBOQUE
20/03/2022;Noite;VILA CRETI;CARAPICUIBA; Não;54Âº D.P. CID. TIRADENTES;REBOQUE
20/03/2022;Noite;VILA CRETI;CARAPICUIBA; Não;54Âº D.P. CID. TIRADENTES;CAMINHÃƒO TRATOR
21/03/2022;Manha;PIRAJUSSARA;EMBU DAS ARTES; Não;DEL.POL.ITAPECERICA DA SERRA;CAMINHÃƒO
18/03/2022;Noite;JARDIM EUROPA;SUZANO; Não;02Âº D.P. SUZANO;
18/03/2022;Noite;JARDIM EUROPA;SUZANO; Não;02Âº D.P. SUZANO;AUTOMOVEL
18/03/2022;Noite;JARDIM EUROPA;SUZANO; Não;02Âº D.P. SUZANO;
18/03/2022;Noite;JARDIM EUROPA;SUZANO; Não;02Âº D.P. SUZANO;AUTOMOVEL
14/03/2022;Madrugada;SAUDE;S.PAULO; Não;16Âº D.P. VILA CLEMENTINO;AUTOMOVEL
17/03/2022;Noite;OLIVEIRAS;EMBU DAS ARTES; Não;DEL.POL.EMBU DAS ARTES;AUTOMOVEL
21/03/2022;Tarde;CENTRO;DIADEMA; Não;01Âº D.P. DIADEMA;AUTOMOVEL
17/02/2022;Tarde;BELA VISTA;S.PAULO; Não;DELEGACIA ELETRONICA; Não Informado
13/03/2022;Tarde;PARQUE SAO VICENTE;MAUA; Não;01Âº DP MAUA DR.ALFREDO GARBINO;AUTOMOVEL
19/03/2022;Madrugada;RIO PEQUENO;S.PAULO; Não;14Âº D.P. PINHEIROS;MOTOCICLO
19/03/2022;Madrugada;RIO PEQUENO;S.PAULO; Não;14Âº D.P. PINHEIROS;MOTOCICLO
20/03/2022;Noite;JAGUARA;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
15/03/2022;Noite;CENTRO;S.BERNARDO DO CAMPO; Não;DELEGACIA ELETRONICA;MOTOCICLO
06/03/2022;Noite;TINGIDOR;EMBU DAS ARTES; Não;01Âº D.P. TABOÃƒO DA SERRA;AUTOMOVEL
19/03/2022;Manha;CIDADE DUTRA;S.PAULO; Não;101Âº D.P. JDIM IMBUIAS;CAMINHONETE
15/03/2022;Noite;JARDIM PRESIDENTE DUTRA;GUARULHOS; Não;DELEGACIA ELETRONICA; Não Informado
19/03/2022;Noite;LAPA;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
19/03/2022;Manha;JD MARIA CECÃLIA;FERRAZ DE VASCONCELOS; Não;DEL.POL.POA;
19/03/2022;Manha;JD MARIA CECÃLIA;FERRAZ DE VASCONCELOS; Não;DEL.POL.POA;AUTOMOVEL
19/03/2022;Manha;JD MARIA CECÃLIA;FERRAZ DE VASCONCELOS; Não;DEL.POL.POA;
19/03/2022;Manha;JD MARIA CECÃLIA;FERRAZ DE VASCONCELOS; Não;DEL.POL.POA;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
21/03/2022;Tarde;VILA PIRATININGA;S.JOSE DOS CAMPOS;Sim;02Âº D.P. S.JOSE DOS CAMPOS;AUTOMOVEL
07/03/2022;Madrugada;;S.PAULO; Não;74Âº D.P. PARADA TAIPAS;CAMINHÃƒO
02/02/2022;Noite;;S.PAULO; Não;74Âº D.P. PARADA TAIPAS;AUTOMOVEL
21/03/2022;Tarde;ARICANDUVA;S.PAULO; Não;64Âº D.P. CID.AE CARVALHO;AUTOMOVEL
20/03/2022;Noite;SANTANA;S.PAULO; Não;DEL.POL.BARUERI;MOTOCICLO
21/02/2022;Manha;VILA ROMAO;REGISTRO;Sim;DEL.POL.SETE BARRAS;
21/02/2022;Manha;VILA ROMAO;REGISTRO;Sim;DEL.POL.SETE BARRAS;MOTOCICLO
21/02/2022;Manha;VILA ROMAO;REGISTRO;Sim;DEL.POL.SETE BARRAS;
21/02/2022;Manha;VILA ROMAO;REGISTRO;Sim;DEL.POL.SETE BARRAS;MOTOCICLO
21/03/2022;Tarde;MAIA;GUARULHOS; Não;01Âº D.P. GUARULHOS;MOTOCICLO
20/03/2022;Noite;JARDIM SHANGAI;CAMPINAS; Não;DEL.SEC.2Âª CAMPINAS PLANTÃƒO;CAMINHONETE
19/03/2022;Tarde;CONSOLACAO;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Hora_Incerta;GOPOUVA;GUARULHOS; Não;DEL.POL.GUARAREMA;
21/03/2022;Hora_Incerta;GOPOUVA;GUARULHOS; Não;DEL.POL.GUARAREMA;CAMINHÃƒO
21/03/2022;Hora_Incerta;GOPOUVA;GUARULHOS; Não;DEL.POL.GUARAREMA;
21/03/2022;Hora_Incerta;GOPOUVA;GUARULHOS; Não;DEL.POL.GUARAREMA;CAMINHÃƒO
21/03/2022;Tarde;INDEPENDÃªNCIA;RIBEIRAO PRETO; Não;CPJ RIBEIRAO PRETO;CAMINHONETE
21/03/2022;Noite;SAO RAFAEL;S.PAULO; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Noite;JARDIM MAVISOU;LAVRINHAS; Não;DEL.SEC.CRUZEIRO PLANTÃƒO;MOTOCICLO
21/03/2022;Madrugada;CARRAO;S.PAULO; Não;10Âº D.P. PENHA DE FRANCA;
21/03/2022;Madrugada;CARRAO;S.PAULO; Não;10Âº D.P. PENHA DE FRANCA;CAMINHÃƒO
21/03/2022;Madrugada;CARRAO;S.PAULO; Não;10Âº D.P. PENHA DE FRANCA;
21/03/2022;Madrugada;CARRAO;S.PAULO; Não;10Âº D.P. PENHA DE FRANCA;CAMINHÃƒO
21/03/2022;Noite;PARQUE BOM RETIRO;PAULINIA; Não;DEL.POL.PAULINIA;MOTOCICLO
19/03/2022;Noite;BAIRRO JARDIM;S.ANDRE; Não;02Âº D.P. SANTO ANDRÃ‰;AUTOMOVEL
21/03/2022;Tarde;ITAIM PAULISTA;S.PAULO; Não;50Âº D.P. ITAIM PAULISTA;AUTOMOVEL
21/03/2022;Noite;JARDIM COLINA;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
21/03/2022;Noite;PIRAJUSSARA;EMBU DAS ARTES; Não;DELEGACIA ELETRONICA;AUTOMOVEL
21/03/2022;Noite;VILA CALIFORNIA;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
21/03/2022;Noite;JARDIM RES ADELIA CAVICHIA GROTTA;LIMEIRA; Não;DEL.SEC.LIMEIRA PLANTÃƒO;AUTOMOVEL
21/03/2022;Noite;TABOÃƑO;S.BERNARDO DO CAMPO; Não;02Âº D.P. S.BERNARDO DO CAMPO;
21/03/2022;Noite;TABOÃƑO;S.BERNARDO DO CAMPO; Não;02Âº D.P. S.BERNARDO DO CAMPO;MOTOCICLO
21/03/2022;Noite;TABOÃƑO;S.BERNARDO DO CAMPO; Não;02Âº D.P. S.BERNARDO DO CAMPO;
21/03/2022;Noite;TABOÃƑO;S.BERNARDO DO CAMPO; Não;02Âº D.P. S.BERNARDO DO CAMPO;MOTOCICLO
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;SEMI REBOQUE
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;CAMINHÃƒO TRATOR
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;SEMI REBOQUE
20/03/2022;Noite;CURUCUTU;S.BERNARDO DO CAMPO; Não;73Âº D.P. JACANA;CAMINHÃƒO TRATOR
21/03/2022;Noite;AREA RURAL;PIRACICABA; Não;DEL.SEC.PIRACICABA PLANTÃƒO;CAMINHONETE
21/03/2022;Noite;BAIRRO CASA BRANCA;S.ANDRE; Não;01Âº D.P. SANTO ANDRÃ‰;MOTOCICLO
19/03/2022;Tarde;JD MIRANDA;CAMPINAS; Não;DELEGACIA ELETRONICA;MOTOCICLO
21/03/2022;Noite;JABOTICABAL;JABOTICABAL; Não;DEL.POL.PLANTÃƒO JABOTICABAL;AUTOMOVEL
21/03/2022;Noite;VILA ELISA;RIBEIRAO PRETO; Não;CPJ RIBEIRAO PRETO;AUTOMOVEL
21/03/2022;Noite;RUDGE RAMOS;S.BERNARDO DO CAMPO; Não;02Âº D.P. S.BERNARDO DO CAMPO;AUTOMOVEL
21/03/2022;Noite;NOVO HORIZONTE;JUNDIAI; Não;PLANTÃƒO  01Âº D.P. JUNDIAI;
21/03/2022;Noite;NOVO HORIZONTE;JUNDIAI; Não;PLANTÃƒO  01Âº D.P. JUNDIAI;CAMINHÃƒO TRATOR
21/03/2022;Noite;NOVO HORIZONTE;JUNDIAI; Não;PLANTÃƒO  01Âº D.P. JUNDIAI;
21/03/2022;Noite;NOVO HORIZONTE;JUNDIAI; Não;PLANTÃƒO  01Âº D.P. JUNDIAI;CAMINHÃƒO TRATOR
19/03/2022;Noite;PARQUE DO LAGO;S.PAULO; Não;98Âº D.P. JARDIM MIRIAM;
19/03/2022;Noite;PARQUE DO LAGO;S.PAULO; Não;98Âº D.P. JARDIM MIRIAM;MOTOCICLO
19/03/2022;Noite;PARQUE DO LAGO;S.PAULO; Não;98Âº D.P. JARDIM MIRIAM;
19/03/2022;Noite;PARQUE DO LAGO;S.PAULO; Não;98Âº D.P. JARDIM MIRIAM;MOTOCICLO
21/03/2022;Noite;CIDADE INDUSTRIAL SATÃ‰LITE DE SÃƑO PAULO;GUARULHOS; Não;DELEGACIA ELETRONICA;MOTOCICLO
21/03/2022;Tarde;ITAQUERA;S.PAULO; Não;63Âº D.P. VILA JACUI;MOTOCICLO
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;CAMINHÃƒO TRATOR
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;CAMINHÃƒO TRATOR
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;CAMINHÃƒO TRATOR
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;
21/03/2022;Tarde;CONJ VL VERDE;CAJAMAR;Sim;DEL.POL.CAJAMAR;CAMINHÃƒO TRATOR
21/03/2022;Noite;PARQUE EDU CHAVES;S.PAULO; Não;DELEGACIA ELETRONICA;MOTOCICLO
21/03/2022;Noite;JD SÃƑO LUIS;S.PAULO; Não;11Âº D.P. SANTO AMARO;MOTOCICLO
21/03/2022;Madrugada;J MARIA ROSA;S.PAULO; Não;89Âº D.P. JARDIM TABOAO;AUTOMOVEL
21/03/2022;Noite;JARDIM CALIFORNIA;PIRACICABA; Não;DEL.SEC.PIRACICABA PLANTÃƒO;
21/03/2022;Noite;JARDIM CALIFORNIA;PIRACICABA; Não;DEL.SEC.PIRACICABA PLANTÃƒO;AUTOMOVEL
21/03/2022;Noite;JARDIM CALIFORNIA;PIRACICABA; Não;DEL.SEC.PIRACICABA PLANTÃƒO;
21/03/2022;Noite;JARDIM CALIFORNIA;PIRACICABA; Não;DEL.SEC.PIRACICABA PLANTÃƒO;AUTOMOVEL
21/03/2022;Noite;VILA FORMOSA;S.PAULO; Não;31Âº D.P. VILA CARRAO;AUTOMOVEL
21/03/2022;Noite;PIRATININGA;OSASCO; Não;05Âº D.P. OSASCO;AUTOMOVEL
16/03/2022;Tarde;ALDEIA;BARUERI; Não;DEL.POL.BARUERI;AUTOMOVEL
16/03/2022;Tarde;ALDEIA;BARUERI; Não;DEL.POL.BARUERI;AUTOMOVEL
